uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1274
4b92d36a-15ee-4d0b-b55e-f643968c017f,f250bc37-7885-42be-8a3d-81eae10eb6bc;3e49250d-b124-465b-8965-90a42e92ad7e;2d1e74ed-d739-4814-aecc-cd7c7a11086d;c3659bf9-3f10-11e4-adec-0800271c1b75;744ca7b5-d7da-40c3-b271-d70960d0c433;1dc8c669-baa4-44e5-b5a9-f6f152da6bc6,,a)Prescripteur,b)Prescriber,Prescripteur,Prescriber,Misc,N/A,,

39c67549-af1e-4dba-aa6a-317c224a95cc,,,Échantillon #1,Sample #1,Échantillon #1,Sample #1,Misc,DateTime,,
2f26336e-56d7-4b16-96c2-d5a8d2159dd3,,,Échantillon #2,Sample #2,Échantillon #2,Sample #2,Misc,DateTime,,
15eeb177-b98c-4252-818e-6b1f117af645,39c67549-af1e-4dba-aa6a-317c224a95cc;2f26336e-56d7-4b16-96c2-d5a8d2159dd3,,Prélèvement des échantillons,Sample Collection,Prélèvement des échantillons,Sample Collection,Misc,N/A,,

423ee5c7-6894-49c8-9e65-e9ad5e581844,7d49355b-1c9f-49aa-a052-a7e1729affe4;4c97413e-c465-4ce6-adc4-40cdd7e91b75;15c6a38f-91e1-4599-8c2d-bdccf32112e4;4b92d36a-15ee-4d0b-b55e-f643968c017f;15eeb177-b98c-4252-818e-6b1f117af645,,Type de patient,Type of patient,Type de patient,Type of patient,Misc,N/A,,


6439946b-39b5-4aab-97ff-404a8725f46a,,,Lab N°,Lab Numb,Lab N°,Lab Numb,Misc,Numeric,,
7fe74025-5a3e-4987-9403-98c5c79ff9d1,,,Positif(préciser la quantification),Positive (specify quantification),Positif(préciser la quantification),Positive (specify quantification),Misc,N/A,,
01429088-3d5a-4a7b-a032-8583c536cac6,,7fe74025-5a3e-4987-9403-98c5c79ff9d1;718b4589-2a11-4355-b8dc-aa668a93e098,Sample N°1,Sample N°1,Sample N°1,Sample N°1,Misc,Coded,,
89ccd8c4-c293-4a15-aaae-b120c85326af,,7fe74025-5a3e-4987-9403-98c5c79ff9d1;718b4589-2a11-4355-b8dc-aa668a93e098,Sample N°2,Sample N°2,Sample N°2,Sample N°2,Misc,Coded,,
a6e6b5fd-e473-49a1-af51-88057d7f68f9,6439946b-39b5-4aab-97ff-404a8725f46a;01429088-3d5a-4a7b-a032-8583c536cac6;89ccd8c4-c293-4a15-aaae-b120c85326af,,a)Microscopie,a)Microscopy,Microscopie,Microscopy,Misc,N/A,,

47b4adba-d178-4cde-99a4-eef9bbe0f961,,7acfafa4-f19b-485e-97a7-c9e002dbe37a;718b4589-2a11-4355-b8dc-aa668a93e098,Statut:,Status:,Statut,Status,Misc,Coded,,
9ddba9ee-b0b7-4508-9dfc-b5ed6c1b52e8,6439946b-39b5-4aab-97ff-404a8725f46a;47b4adba-d178-4cde-99a4-eef9bbe0f961;,,TB LAMP:,TB LAMP:,TB LAMP,TB LAMP,Misc,N/A,,


f0e81283-ccbf-42cb-88d6-fae4d8bbbe48,,,Lab N°:,Lab Numb:,Lab N°,Lab Numb,Misc,Text,,

e081d79c-8cf9-4964-927d-c492aab90312,,,Détectée,Detected,Détectée,Detected,Misc,N/A,,
db945037-3125-4ed6-ac2d-2610aa3b2c30,,,Non détectée,Not detected,Non détectée,Not detected,Misc,N/A,,
8c9589ef-763c-48cf-b941-e8cf335e717b,,e081d79c-8cf9-4964-927d-c492aab90312;db945037-3125-4ed6-ac2d-2610aa3b2c30,Rifampicin resistance,Rifampicin resistance,Rifampicin resistance,Rifampicin resistance,Misc,Coded,,
d400bd3b-1e3c-4237-89f0-c2090665cc7c,,,Trace:,Trace:,Trace,Trace,Misc,Text,,
ea51495c-e253-4a0a-9df9-b4de3828df3a,8c9589ef-763c-48cf-b941-e8cf335e717b;d400bd3b-1e3c-4237-89f0-c2090665cc7c,,a)Positif,a)Positive,Positif,Positive,Misc,N/A,,
d110dd82-2041-4cd8-8fd2-c3f1bf8e52b8,,,a)Négatif,a)Negative,Négatif,Negative,Misc,Text,,

ac0861e7-9497-4895-989d-f10d960fb7d0,f0e81283-ccbf-42cb-88d6-fae4d8bbbe48;ea51495c-e253-4a0a-9df9-b4de3828df3a;d110dd82-2041-4cd8-8fd2-c3f1bf8e52b8,,Gene Xpert MTB/RIF Ultra,Gene Xpert MTB/RIF Ultra,Gene Xpert MTB/RIF Ultra,Gene Xpert MTB/RIF Ultra,Misc,N/A,,

76c8f148-de7b-4d4f-8689-4400cd45a74f,f0e81283-ccbf-42cb-88d6-fae4d8bbbe48;47b4adba-d178-4cde-99a4-eef9bbe0f961;,,LF LAM(urine),LF LAM(urine),LF LAM(urine),LF LAM(urine),Misc,N/A,,

32c82057-c625-43dd-9911-2b458a5d6a7e,a6e6b5fd-e473-49a1-af51-88057d7f68f9;9ddba9ee-b0b7-4508-9dfc-b5ed6c1b52e8;ac0861e7-9497-4895-989d-f10d960fb7d0;76c8f148-de7b-4d4f-8689-4400cd45a74f,,Méthodes utilisées,Methods used,Méthodes utilisées,Methods used,Misc,N/A,,
c8ac0bf5-5e01-469c-9b1e-8279d7e7b711,32c82057-c625-43dd-9911-2b458a5d6a7e,,Laboratoire:,Lab:,Laboratoire:,Lab:,Misc,N/A,,


1938f2bf-461c-40a9-807f-6e9406b0d88d,,,CDT:,CDT:,CDT,CDT,Misc,Text,,
d9793741-7406-486d-819a-2ec684e27412,1938f2bf-461c-40a9-807f-6e9406b0d88d;3e49250d-b124-465b-8965-90a42e92ad7e;1dc8c669-baa4-44e5-b5a9-f6f152da6bc6,,Résultats Examens faits par:,Exam Results done by:,Résultats Examens faits par:,Exam Results done by:,Misc,N/A,,

98c2035b-45a5-4102-b6a3-f5edd1e863cd,,,Traité pour TB,Treated for TB,Traité pour TB,Treated for TB,Misc,N/A,,
3f0a6e5c-efc3-4614-bbbf-0f0343742827,,,Antibiotiques initiés,Antibiotics initiated,Antibiotiques initiés,Antibiotics initiated,Misc,N/A,,
094b122a-cde9-4ce7-8f3a-5387a855e256,,,N° registre TB du CDT,CDT TB register number,N° registre TB du CDT,CDT TB register number,Misc,Text,,

6e79c0ad-8df5-4444-9539-1e0bb2f51c50,f250bc37-7885-42be-8a3d-81eae10eb6bc;3e49250d-b124-465b-8965-90a42e92ad7e;ccd7f1ef-52e1-4a97-a28a-ae5fe3d93578;1dc8c669-baa4-44e5-b5a9-f6f152da6bc6,,Par:,By:,Par:,By:,Misc,N/A,,
82a3603c-2cce-4962-b1ad-39330dd99964,,98c2035b-45a5-4102-b6a3-f5edd1e863cd;3f0a6e5c-efc3-4614-bbbf-0f0343742827;d825ef4c-22a3-4c45-af8e-ce21b6195d6e,Prise en charge du malade:,Patient care:,Prise en charge du malade:,Patient care:,Misc,Coded,,
 
d8a9d684-d316-4667-a0ae-530261d60b7b,Patient's site;CDT;a)Date;Tel 1;Tel 2;Department/Bed or Address;Serological status;TB type;Categories;ART Initiation:;a)If other specify;Symptoms;Sample type;Reason for the examination;Type of patient;Lab:;Exam Results done by:;By:;Patient care:,,Formulaire de Demande pour le diagnostic et le suivi du traitement de la TB,Application Form for TB Diagnosis and Treatment Follow-up,Formulaire de Demande pour le diagnostic et le suivi du traitement de la TB,Application Form for TB Diagnosis and Treatment Follow-up,Misc,N/A,,
